Gene,Reference
ARF5,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ZDHHC6,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RARS2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
BCAS2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DKC1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SLC35A1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UBL4A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GSTO1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ATP6AP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
AHCYL1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPL10,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
EMD,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ACTR1A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CUEDC2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GBF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
STXBP3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PRPF38B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SSR4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MFSD14A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PPDPF,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
LZTS2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPL5,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
YTHDF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
BLOC1S2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CUTC,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MRGBP,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SLC25A28,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GTF2B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CREG1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
LMO4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SH3GLB1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PI4K2A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
AL135905.2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
FUBP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RTL8A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PSMA7,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SRSF11,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
LEPROT,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TM9SF3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TCTN3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MCTS1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CUL4B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
NDUFA1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RNF113A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MRPL41,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MAGOH,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CDC5L,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UBE2A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DPP7,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DPM1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PTPN1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TXNDC12,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TNKS2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
HSP90AB1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UBE2V1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
B4GALT5,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PMPCA,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DNLZ,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UBAC1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DDX27,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CMPK1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ARFGEF2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
EFCAB14,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
REXO4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PTEN,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SURF2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SURF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
POMGNT1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SURF4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MRPL14,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MRPS18A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GHITM,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MAD2L1BP,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPS8,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ERI3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
IPO13,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PCIF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
YIPF3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PRPS1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
C9orf78,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ELOVL1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
NTMT1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SVBP,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DNTTIP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ZMPSTE24,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CHCHD1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
URM1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PABPC4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MRPS16,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DNAJC9,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
C9orf16,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RRAGC,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SF3A3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GNL2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TRAPPC3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SH3BGRL,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
EIF4EBP2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PPA1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PSMB2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SAR1A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
COX7B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PBDC1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GLO1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CMTR1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
YARS,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TBC1D22B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
BLCAP,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PPP6C,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
DDX50,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
EIF3I,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MTCH1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
KPNA6,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RABGAP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PIN4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RC3H2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PEF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SRSF3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
OGT,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
KCTD20,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
NDUFA8,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ADO,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SRSF4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RAB14,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPA2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
STX12,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ATP6V1G1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ROMO1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GPN2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
POLE3,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CDC26,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UQCC2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ZNF593,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SNX12,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
GNG10,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MTFR1L,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TMEM50A,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ZNF32,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CSGALNACT2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
CUTA,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PHF1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
BMS1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RPL11,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TMEM245,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
WDR46,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RING1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SLC39A7,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RXRB,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SLC38A10,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ITCH,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
EIF2S2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
PBX2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
AGPAT1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
NCBP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TSR2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
ATF6B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
UBR4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
HABP4,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
MFSD14B,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
TFDP1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
RCC2,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
NINJ1,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SDHB,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
SDHD,HRT Atlas v1.0 database: redefining human and mouse housekeeping genes and candidate reference transcripts by mining massive RNA-seq datasets | Nucleic Acids Research | Oxford Academic (oup.com)
